Paper_ID,Title,Year,MRI_Application_Area,Field_Strength_Type,AI_Architecture,Primary_Focus,Dataset_Type,PSNR_Value,SSIM_Value,LMIC_Relevance_Score,Low_Field_Mentioned,Resource_Constraints_Addressed,Code_Available,Clinical_Validation_Type,Extraction_Complete
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,2020.0,Brain,Not_specified,Hybrid,SR+Segmentation,Public_benchmark,Not reported,Not reported,2,No,No,No,,Yes
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2024.0,Brain,Not_specified,U-Net,SR+Segmentation,Public_benchmark,Not reported,Not reported,2,No,No,Not reported,,Yes
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021.0,General,Standard-field,CNN,SR+Diagnosis,Clinical,Not reported,Not reported,3,No,Yes,No,Multi-reader,Yes
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022.0,Musculoskeletal,Standard-field,CNN,Denoising+SR,Clinical,Not reported,Not reported,2,No,No,No,Multi-reader,Yes
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,2024.0,Brain,Not_specified,Hybrid,SR+Classification,Not reported,Not reported,Not reported,3,No,Yes,No,,Yes
6,A deep learning approach for brain tumor classification using MRI images,2022.0,Brain,Not_specified,Hybrid,SR+Classification,Public_benchmark,Not reported,Not reported,3,No,Yes,No,,Yes
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022.0,Cardiac,standard field ,CNN,SR + segmentation,Clinical,Not reported,Not reported,2,No,No,No,Diagnostic comparison,Yes
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,2022.0,Cardiac,Not_specified,U-Net + CNN,Segmentation + Classification,Public_benchmark,Not reported,Not reported,2,No,No,No (not stated),External challenge evaluation,Yes
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023.0,Abdominal,Standard-field,CNN,Denoising+SR,Clinical,Not reported,Not reported,4,No,Yes,No,Multi-reader,Yes
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,2020.0,Flow,High-field,DNN + CNN,Denoising+SR,Synthetic,Not reported,Not reported,3,No,Yes,No,,Yes
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,2023.0,Brain,Mixed,GAN,SR+Diagnosis,Clinical,Not reported,Not reported,4,Yes,Yes,Yes ,Diagnostic comparison,Yes
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023.0,Brain,Not_specified,"Diffusion, U-Net",Pure_SR,Public_benchmark,24.63 dB,0.7847,2,No,No,No,,Yes
13,A comprehensive review on deep learning based remote sensing image super-resolution methods,2022.0,Not MRI (Remote Sensing),Not_specified,"CNN, GAN, Transformer",Pure_SR,Public_benchmark,Not reported,Not reported,1,No,Yes,Yes,,Yes
14,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021.0,Abdominal,Standard-field,U-Net,Pure_SR,Mixed,37.31 dB,0.957,3,No,Yes,Yes,,Yes
15,Spectral super-resolution meets deep learning: Achievements and challenges,2023.0,Not MRI (Hyperspectral Imaging),Not_specified,"CNN, GAN, Transformer",Pure_SR,Public_benchmark,31.49 dB,Not reported,1,No,Yes,Yes,,Yes
16,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,2024.0,Brain,Mixed,CNN,Pure_SR,Public_benchmark,41.64 dB,0.9895,4,No,Yes,Upon_request,,Yes
17,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020.0,Musculoskeletal (knee),Not_specified,CNN,Pure_SR,Mixed,36.220 dB,Not reported,1,No,Yes,No,,Yes
18,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025.0,,Standard-field,CNN,SR + acceleration,Clinical (Single center),Not reported,Not reported,3,No,Yes,No,Multi-reader quantitative + subjective evaluation,Yes
19,Medical image super-resolution reconstruction algorithms based on deep learning: A survey,2023.0,,,,Is a survey,,,,,,,,,Yes
20,Convolutional Neural Network-based Enhancement Method of 3D MRI,2021.0,Brain,Not_specified,CNN,Pure_SR,Synthetic,37.09 dB,0.9796,2,No,No,No,,Yes
21,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023.0,Flow,Standard-field,CNN,SR+Diagnosis,Mixed,Not reported,Not reported,3,No,Yes,Yes,Diagnostic_comparison,Yes
22,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,2023.0,Brain,Not_specified,CNN,SR+Classification,Synthetic,Not reported,Not reported,3,No,No,No,,Yes
23,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024.0,Image Enhancement in Low-Field MRI,Low field (64 mT) and Standard field (3 T),U-Net,Denoising + SR,"PROSTATEx, Prostate-3T, Prostate Fused-MRI-Pathology, Prostate-diagnosis and Prostate MRI.",31.112,0.59,4,Yes,Yes,No,,Yes
24,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,2023.0,knee,Not_specified,CNN,Pure_SR,Repository of Images of the centra nervous system,34.11,85.24%,3,No,No,No,,Yes
25,Digital Image Enhancement using Conventional Neural Network,2023.0,Digital Image Enhancement using conventional neural network,Mixed,SRCNN,SR +Classification,Mixed,"Multiple images are considered from different sources and of varying sizes. For these values represented in the set given, the corresponding SSIM values will be given in a similar set in the row to the right(26.5,31.9,31.4,34.8,31.32,31.66)","(0.9246,0.9180,0.9341,0.9667,0.9638,0.9458)",3,Yes,No,yes,,Yes
26,Deep learning‑based single image super‑resolution for low‑field MR brain images,2022.0,Brain,Low-Field MRI,SRDenseNet,Pure_SR,Public_benchmark,42.69,0.9876,3,Yes,Yes,No,,Yes
27,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,2021.0,Brain,Not_specified,"CNN, GAN, Hybrid",Pure_SR,Public_benchmark,Reported,Reported ,3,No,yes,No,,Yes
28,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,2023.0,Brain,Low-Field,"CNN, Hybrid",Denoising+SR,Mixed,Not reported,Reported but numerical values not stated,5,yes,yes,No,Radiologist_visual ,Yes
29,Image Quality Enhancement Using a Deep Neural Network for Plane Wave Medical Ultrasound Imaging,2021.0,General(Non MRI modality-ultrasound, Not_specified,CNN ,Denoising+SR ,Mixed,Not reported,Not reported,3,   No,Yes,No,Radiologist_visual ,Yes
30,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024.0,Musculoskeletal,Low-field,"CNN, U-Net",denoising and distortion correction in low‑field MRI,Synthetic,11.70%,Not reported,4,Yes,Yes,No,,Yes
31,Multi-Contrast Super-Resolution MRI Through a Progressive Network,2020.0,Brain,Not_specified,"CNN, U-Net, Hybrid",Pure_SR,mixed,"For the IXI dataset, PSNR improved from 27.15 dB in the 4×LR images to 33.33 dB with the non-progressive model, 34.81 dB with the U-PRO model, and reached 35.14 dB with the C-PRO model. For the NAMIC dataset, PSNR increased from 26.83 dB in the 4×LR images to 28.21 dB with the non-progressive model, 30.76 dB with the U-PRO model, and 30.94 dB with the C-PRO model.","For the IXI dataset, SSIM increased from 0.793 in the 4×LR images to 0.950 with the non-progressive model, 0.958 with the U-PRO model, and 0.961 with the C-PRO model. For the NAMIC dataset, SSIM improved from 0.751 in the 4×LR images to 0.925 with the non-progressive model, 0.951 with the U-PRO model, and 0.953 with the C-PRO model.",3,No,No,No,,Yes
32,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,2021.0,"Cardiac, brain, knee, multimodal whole heart",,Fusion attention based GAN,Generate high resolution from low resolution images,"Cardiac, brain, knee, multimodal whole heart",For 4× super-resolution: Cardiac: 34.28 dB; Brain: 42.11 dB; Knee: 30.27 dB; MM-WHS: 36.81 dB,For 4× super-resolution: Cardiac: 0.9966; Brain: 0.9974; Knee: 0.9926; MM-WHS: 0.9981,Medium,No,No,No,No,Yes
33,"Cerebrovascular super-resolution 4D Flow MRI – Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023.0,Cerebrovascular hemodynamics,3T MRI,deep residual cnn,2 step super-resolution framework for 4D MRI Flow,4d flow MRI of intracranial arteries,,,medium,no,Addresses scan-time vs resolution trade-off,https://github.com/EdwardFerdian/4DFlowNet,In-silico validation against CFD ground truth + retrospective in-vivo feasibility study in healthy volunteers.,Yes
34,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,2024.0,myocardium infarction,1.5 and 3T MRI,"unet, u-net-vgg15, segnet, resunet",Multi-class semantic segmentation of myocardial infarction and microvascular obstruction,public miccai benchmark,21.19 dB,71.88%,Moderate,no,"discusses computational efficiency, model size, FPS, and preprocessing impact",no,Retrospective validation on expert-annotated dataset; qualitative visual validation on unlabeled cases,Yes
35,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,2021.0,Improve MRI white-matter microstructure ,1.5T and 3T MRI scanners,ShuffleUNet,"Single-image super-resolution for 3D diffusion-weighted brain MRI to recover high-resolution volumes from low-resolution inputs, enabling shorter scan times and reducing motion artefacts",Public IXI diffusion-weighted MRI of healthy subjects ,,SSIM = 0.913 ± 0.045 for ShuffleUNet,Medium,No,"Simulates 2× downsampling in each dimension, corresponding to a theoretical 8× acceleration in acquisition, which would reduce scan time and motion artefacts.",no,Retrospective imaging only,Yes
36,Review of Computer Aided-Diagnosis (CAD) Systems for MRI Gliomas brain tumors explorations based on Machine Learning and Deep learning,2022.0,Brain gliomas diagnosis and grading,,,Narrative review of Computer-Aided Diagnosis (CAD) systems for glioma brain tumors on MRI,,,,,,,,,Yes
37,Transfer learning in deep neural network based under-sampled MR image reconstruction,2021.0,Brain MRI,1.5T and 3T,,Assessing generalization and applying Transfer Learning,Human brain and cardiac images,Brain 3T (500 images): 29.26 dB. Cardiac (500 images): 35.02 dB.,Brain 3T (500 images): 0.9270. Cardiac (500 images): 0.9496.,High,Yes (1.5T),No,no,Quantitative and qualitative comparison (image artifacts) against fully-sampled reference images.,Yes
38,MRI at low field: A review of software solutions for improving SNR,2024.0,,,,Is a review,,,,,,,,,Yes
39,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,2024.0,Musculoskeletal (knee),Low-field (0.4T) + High-field reference (3T),CNN (U-Net + RED-Net),SR + Image generation/contrast enhancement,,,,3,Yes (0.4T),Yes (explicit focus on low-field as cost-effective),No,"Multi-reader (2 board-certified radiologists), with statistical testing",Yes
40,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,2025.0,Brain,Mixed,GAN,SR+Diagnosis,Clinical,"FLAIR: 56.6, T1w: 75.3, T2w: 77.0","FLAIR: 0.88, T1w: 0.82, T2w: 0.89",4,Yes,Yes,Yes,Diagnostic_comparison,Yes
41,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024.0,Brain,Mixed (0.36 T and 1.5 T),U-Net,Denoising + SR,"Mixed (Clinical and Public-benchmark (HCP, Leipzig))",Not reported,Not reported,5,Yes,Yes,Yes ( https://github.com/hongxiangharry/Stochastic-IQT ),Multi-reader (7 radiologists),Yes
42,Deep learning-based single image super-resolution for low-field MR brain images,2022.0,Brain,Low-field,CNN,Denoising+SR,Mixed,35.39-45.47 dB (SRDenseNet); 35.39-37.14 dB (zero-padding baseline),0.9875-0.9953 (SRDenseNet); 0.9265-0.9706 (zero-padding baseline),5,Yes,Yes,No,,Yes
43,Deep learning for fast low-field MRI acquisitions,2022.0,Musculoskeletal (wrist/hand),Low_field (0.1T),U-Net,Reconstruction of undersampled MRI (accelerated acquisition),Private_proprietary,"Magnitude: 29.121 at R=3; 27.698 at R=4; 26.642 at R=5 (U-net vs FT baselines of 28.032, 25.655, 24.424 respectively). Phase: 26.527 at R=3; 25.703 at R=4; 24.855 at R=5",Magnitude: 0.896 at R=3; 0.863 at R=4; 0.834 at R=5. Phase: 0.808 at R=3; 0.767 at R=4; 0.729 at R=5,5,Yes,Yes,No (data available on request; no code repository mentioned),Prospective validation on acquired undersampled data,Yes
44,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,2023.0,Prostate MRI,3T MRI,Deep Learning (DL) framework integrating compressed sensing with convolutional neural networks,Super-resolution (SR) and denoising to reduce acquisition time while maintaining or improving image quality in T2-weighted prostate MRI,Prospective study of adult male patients with suspected prostate cancer,"Not explicitly reported in the provided text (qualitative Likert scales and quantitative ""Edge Rise Distance"" were used instead)",,Moderate,No,Addressed via reduced scan time (accelerated acquisition),No,PI-RADS score agreement assessment by two board-certified radiologists with intra- and interreader reproducibility testing,Yes
45,Super resolution using sparse sampling at portable ultra-low field MR,2024.0,Neuroradiology / Multiple Sclerosis (MS),Portable Ultra-Low Field (0.064 Tesla),Non-AI / Fourier-based (Specifically stated as NOT relying on deep learning),Developing a Fourier-based Super Resolution (FouSR) approach to enhance ULF MRI resolution with minimal scan time increase,Patients with MS or suspected MS,,,High,Yes (Primary focus is 0.064 T / 64 mT),"Addressed cost-effectiveness, reduced power, and portability for accessible MRI",No,Blinded qualitative assessment by three experienced MS neurologists using a defined Likert scale,Yes
46,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024.0,Pediatric Neuroimaging / Youth Mental Health,Ultra-low-field (64 mT / 0.064 T) vs. High-field (3.0 T),Deep Learning (Convolutional Neural Network),Testing super-resolution methods to improve the quality and correspondence of low-field MRI scans with high-field standards in young people,Community sample of young people (Ages 9–26 years),,,High,Yes (64 mT / 0.064 Tesla),Addressed the potential for scaling MR technology in low-resource and community settings,No,Quantitative comparison of automated brain segmentation (FreeSurfer) measures between low-field and high-field scans,Yes
47,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020.0,Musculoskeletal,Standard-field,GAN,Pure_SR,Public_benchmark,36.060 ± 2.155 dB,0.920 ± 0.018,2,No,No,No,,Yes
48,SRflow: Deep learning based super-resolution of 4D-flow MRI data,2022.0,Flow,Mixed,CNN,Pure_SR,Mixed,Not reported (uses PVNR - Peak Velocity-to-Noise Ratio instead). PVNR for 4x SR: Synthetic ~33-34 dB; In vivo cardiovascular ~28-30 dB; In vivo cerebrovascular ~28-30 dB. SRflow(opt) achieves ~1-2 dB improvement over WDSR-3D baseline.,"Not reported. Paper uses flow-specific metrics: PVNR, RMSspeed, Edir, RMSdiv instead of standard image quality metrics.",3,No,Yes,No,,Yes
49,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,2021.0,Brain,Standard-field,CNN,Pure_SR,Clinical,"3D protocol (r=6): SMORE ~29 dB vs sincInterp ~28 dB, LRTV ~24 dB, JogSSR ~27 dB. 2D protocol (r=6): SMORE ~24 dB vs BSP ~22 dB, JogSSR ~23 dB (Figs. 2b, 5b).","3D protocol (r=6): SMORE ~0.75 vs sincInterp ~0.50, LRTV ~0.48, JogSSR ~0.60. 2D protocol (r=6): SMORE ~0.52 vs BSP ~0.45, JogSSR ~0.48 (Figs. 2a, 5a).",4,No,Yes,Upon_request,,Yes
50,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,2021.0,Brain,Standard-field,Transformer,Pure_SR,Public_benchmark,Not reported. Paper uses MAE instead of PSNR.,"SMIR achieves best SSIM across all sampling ratios: 10%: 0.72; 20%: 0.86; 30%: 0.87; 40%: 0.89; 50%: 0.91. Compared to Real-ESRGAN (0.65-0.78), Rec-DNCNN (0.55-0.86), Gaussian (0.56-0.88), Bicubic (0.54-0.87). (Table I)",3,No,Yes,No,,Yes
51,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,2021.0,General,Low-field,CNN,Pure_SR,Mixed,26.53-29.25 dB (average across datasets),0.80-0.84 (average across datasets),4,Yes,Yes,No,,Yes
