Paper_ID,Title,Year,Architecture_Norm,LMIC_Score,Resource_Constraints_Norm,mentions_model_size,mentions_inference_time,meets_size_threshold,meets_inference_threshold,edge_deployment_candidate,model_size_text,inference_text
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,2020,Hybrid,2.0,No,True,False,False,False,False,"2018), outperforming MSVM, KNN, and ensemble classifiers. | The paper notes that fusion of DRLBP and CNN features increases computational time, and that patch-based CNN models can lose core informatio",
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2024,U-Net,2.0,No,False,False,False,False,False,,
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021,CNN,3.0,Yes,False,False,False,False,True,,
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022,CNN,2.0,No,True,False,False,False,False,"e and heterogeneous anatomy and imaging parameters, which increased variability in acquired data. Only a single contrast (2D intermediate-weighted FSE) was evaluated, whereas heavily T2-weighted fat-s",
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,2024,Hybrid,3.0,Yes,True,True,False,True,True,"the Second dataset, and 99.1 % on the combination of both datasets for four-class brain tumor classification (glioma, meningioma, pituitary, healthy). Reported recall, specificity, precision, and F1 s","3 % on the First dataset, 98.2 % on the Second dataset, and 99.1 % on the combination of both datasets for four-class brain tumor classification (glioma, meningioma, pituitary, healthy). Reported reca"
6,A deep learning approach for brain tumor classification using MRI images,2022,Hybrid,3.0,Yes,False,False,False,False,True,,
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,CNN,2.0,No,False,False,False,False,False,,
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,2022,U-Net,2.0,No,True,False,False,False,False,"rated complex pipelines with additional parameters | Paper presents a challenge overview aggregating multiple methods rather than a single model; clinical data were included alongside imaging, which i",
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023,CNN,4.0,Yes,False,False,False,True,True,,
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,2020,CNN,3.0,Yes,False,False,False,False,True,,
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,2023,GAN,4.0,Yes,False,True,False,False,True,,"clinically relevant volumes. Also, for MS, this study assures that portable low field MRI could play a role in point-of-care diagnosis, screening, triage, or follow-up in cases where typical, particu"
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023,Diffusion,2.0,No,False,False,False,False,False,,
13,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021,U-Net,3.0,Yes,False,False,False,False,True,,
14,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,2024,CNN,4.0,Yes,False,False,False,False,True,,
15,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020,CNN,1.0,Yes,False,False,False,True,True,,
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,CNN,3.0,Yes,False,False,False,False,True,,
17,Convolutional Neural Network-based Enhancement Method of 3D MRI,2021,CNN,2.0,No,False,False,False,False,False,,
18,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,CNN,3.0,Yes,True,False,False,False,True,d pressure) for in-vivo data; limited number of in-silico training models (n=4).,
19,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,2023,CNN,3.0,No,True,False,False,False,False,the highest overal accuracy of 91.65% combined SMOTE and Gaussian filter. | Not reported in the provided excerpt.,
20,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024,U-Net,4.0,Yes,True,False,False,False,True,of either a single U- Net layer or a combination of two U-Net layers. This approach combined mean squared error (LMSE) and perceptual loss functions (LVGG) as the loss function for the network. | PSN,
21,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,2023,CNN,3.0,No,True,False,False,False,False,"duals, which creates a higher level of ambiguity. The method does not clearly show how the Digital twins and the sensor information work in tandem, but it clearly shows how the convolution using the n",
22,Digital Image Enhancement using Conventional Neural Network,2023,CNN,3.0,No,False,False,False,False,False,,
23,Deep learning‑based single image super‑resolution for low‑field MR brain images,2022,CNN,3.0,Yes,False,False,False,False,True,,
24,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,2021,Hybrid,3.0,Yes,False,False,False,False,True,,
25,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,2023,Hybrid,5.0,Yes,False,False,False,False,True,,
26,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024,U-Net,4.0,Yes,False,False,False,False,True,,
27,Multi-Contrast Super-Resolution MRI Through a Progressive Network,2020,Hybrid,3.0,No,False,False,False,False,False,,
28,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,2021,GAN,3.0,No,False,False,False,False,False,,
29,"Cerebrovascular super-resolution 4D Flow MRI – Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,CNN,3.0,Yes,True,False,False,False,True,t bias in pressure estimates. | Small number of CFD models; lack of invasive pressure ground truth; dependency on CFD realism; increased storage requirements; need for domain-specific re-training; lim,
30,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,2024,U-Net,3.0,Yes,False,False,False,False,True,,
31,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,2021,U-Net,3.0,Yes,True,False,False,False,True,"d pixel unshuffle layers have learnable parameters; weights initialized with Kaiming Normal | ShuffleUNet outperforms trilinear interpolation, sinc interpolation, and standard UNet on structural DW-MR",
32,Transfer learning in deep neural network based under-sampled MR image reconstruction,2021,Other,4.0,No,False,False,False,False,False,,
33,MRI at low field: A review of software solutions for improving SNR,2024,Other,,Yes,False,False,False,False,True,,
34,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,2024,U-Net,3.0,Yes,False,True,False,False,True,,ic low-field then trains to restore HR; inference upsamples low-field to 448×448 | Method relies on relatively outdated CNN-based SR (U-Net + RED-Net) with no comparison to modern diffusion/transforme
35,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,2025,GAN,4.0,Yes,False,True,False,False,True,,"matching 3-T measurements. | Focused on MS patients, relatively small dataset, requires paired high-field and low-field images for training, and cannot generate lesions absent on the original low-fiel"
36,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024,U-Net,5.0,Yes,False,False,False,False,True,,
37,Deep learning-based single image super-resolution for low-field MR brain images,2022,CNN,5.0,Yes,False,False,False,False,True,,
38,Deep learning for fast low-field MRI acquisitions,2022,U-Net,5.0,Yes,False,False,False,False,True,,
39,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,2023,CNN,3.0,Yes,True,False,False,False,True,Combines two networks: Adaptive-CS-Net (for sparsity-constrained reconstruction and denoising) and Precise-Image-Net (for ringing artifact removal and resolution upscaling) | Only evaluated T2-weighte,
40,Super resolution using sparse sampling at portable ultra-low field MR,2024,Non-AI,4.0,Yes,True,False,False,False,True,Combines spatial frequencies from two orthogonal ULF images; replaces the inner k-space core of one plane with the core from another | FouSR demonstrated superior image sharpness ($0.025 \pm 0.0040$),
41,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024,CNN,4.0,Yes,False,False,False,False,True,,
42,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020,GAN,2.0,No,True,False,False,True,True,"tor (originally from CT denoising), ensemble of 5 GANs + 1 ensemble GAN | 1) Paper published in 2020 - methods may be outdated compared to current transformer/diffusion approaches. 2) Only 2x SR facto",
43,SRflow: Deep learning based super-resolution of 4D-flow MRI data,2022,CNN,3.0,Yes,True,False,False,True,True,"on-sensitive velocity field learning. Combined loss: Jopt = λℓ1·Jℓ1 + λmp-ℓ1·Jmp-ℓ1. Adam optimizer, lr=10^-3, 200 epochs, batch size 4. | Strong methodological paper with novel contributions: (1) Dir",
44,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,2021,CNN,4.0,Yes,False,True,False,False,True,,eling for 2D vs 3D acquisition physics. MS lesion preservation visually demonstrated. PRIMARY RESEARCH - include in systematic review. Potential for LMIC adaptation if optimized for lower compute/low-
45,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,2021,Transformer,3.0,Yes,True,False,False,True,True,arnable relative positional encoding. Combined loss function: L = λ1·L1(spatial) + λ2·L1(frequency domain). Hardware: 4× GTX 1080Ti GPUs. | Conference paper (IEEE ICMIPE 2021) - shorter than journal a,
46,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,2021,CNN,4.0,Yes,False,False,False,True,True,,
47,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,2023,CNN,4.0,No,False,False,False,False,False,,
48,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,2023,CNN,4.0,Yes,False,False,False,False,True,,
49,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,2021,CNN,4.0,Yes,False,False,False,False,True,,
50,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,2023,CNN,4.0,Yes,False,False,False,False,True,,
51,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,2020,U-Net,2.0,Yes,False,False,False,False,True,,
