Architecture,n (%),"PSNR dB, median (range)",PSNR n,"SSIM, median (range)",SSIM n,LMIC Score median,"LMIC >= 4, n (%)",Low-field,Code Avail.,Clinical Valid.,Top Applications
CNN,25 (49%),35.8 (26.5–47.4),10,0.952 (0.750–0.990),8,3,10 (40%),5,3,9,"Brain (11), General (3)"
U-Net,12 (24%),29.3 (21.2–37.3),5,0.905 (0.590–0.957),6,3,5 (42%),6,2,7,"Brain (4), Cardiac (3)"
Hybrid,6 (12%),27.1,1,0.793,1,3,1 (17%),1,0,1,Brain (6)
GAN,4 (8%),36.1 (34.3–56.6),3,0.920 (0.880–0.997),3,4,2 (50%),2,2,2,"Brain (2), General (1)"
Diffusion,1 (2%),24.6,1,0.785,1,2,0 (0%),0,0,0,Brain (1)
Other,1 (2%),N/R,0,N/R,0,N/A,0 (0%),0,0,0,Other (1)
Non-AI,1 (2%),N/R,0,N/R,0,4,1 (100%),1,0,1,Brain (1)
Transformer,1 (2%),N/R,0,N/R,0,3,0 (0%),0,0,0,Brain (1)
TOTAL,51 (100%),34.2 (21.2–56.6),20,0.913 (0.590–0.997),19,3,19 (38%),15,7,20,"Brain (27), MSK (7), General (5)"
